PDB,label,DOCKQ,FNAT,IRMSD,LRMSD,CAPRI_quality,PID,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,dMaSIF,PIsToN,GNN-DOVE,DeepRank-GNN
1AK4-ranair-it0-7169,0,0.011,0,16.427,53.046,4,1AK4,-25.8915,-51.7285,2.221,5.233,0.256,0.0443,21.08,0.253722,-1.927163839,1.964136243,0.2274,0.108971317
1AK4-ranair-it0-4568,0,0.008,0,21.174,59.243,4,1AK4,-11.82076,-19.1059,3.446,1.532,-1.529,0.079,0.3,0.062745,-1.532867074,1.789124966,0.2274,0.006472226
1AK4-ranair-it0-327,0,0.011,0,23.185,48.08,4,1AK4,-11.89011,-7.80626,2.286,3.137,-4.788,-0.0118,8.84,0.040833,-1.263981938,1.938350439,0.2274,0.013254669
1AK4-cm-it0-78,0,0.008,0,15.93,68.107,4,1AK4,-22.9776,-58.4162,-0.163,7.32,-0.548,-0.0379,6.4,0.27324,-1.80973959,1.948037982,0.2274,0.010493316
1AK4-cm-it0-8965,0,0.01,0,15.569,58.233,4,1AK4,-43.1473,-53.5068,-0.773,7.684,-4.644,-0.064,9.76,0.149535,-3.12140131,1.946882248,0.1002,0.013721958
1AK4-ranair-it0-3333,0,0.016,0,12.421,45.712,4,1AK4,-21.31284,-21.6036,6.747,0.54,-0.925,-0.0024,9.34,-0.047921,-2.005061388,0.523222208,0.2397,0.008039937
1AK4-cm-it0-6,0,0.014,0,15.989,44.784,4,1AK4,-23.05569,-31.2615,-0.821,4.304,-0.193,0.0074,18.04,0.337427,-0.566715598,0.508547068,0.2274,0.014781008
1AK4-cm-it0-2883,0,0.04,0,12.43,24.823,4,1AK4,-34.79367,-20.5061,-2.242,-6.145,-2.533,0.002,22.36,0.316349,-0.312925309,1.870716214,0.2343,0.003653359
1AK4-cm-it1-389,0,0.012,0,16.999,51.24,4,1AK4,-41.61322,-56.357,-0.512,-7.124,-0.907,-0.0527,18.16,0.353557,-1.739258409,0.208045602,0.245,0.007504563
1AK4-cm-it0-4373,0,0.007,0,17.527,73.332,4,1AK4,-31.4651,-66.4905,-1.371,10.946,-0.074,-0.061,21.13,0.48863,-1.307936907,1.952006817,0.2274,0.006663945
1AK4-ranair-it0-1718,0,0.011,0,17.281,53.136,4,1AK4,-31.8868066,-48.9225,1.083,-5.408,-0.109,-0.0669,-9.05,0.407326,-0.870934665,1.901920319,0.2341,0.051908415
1AK4-ranair-it0-2387,0,0.014,0,22.348,42.927,4,1AK4,-11.98937762,18.3897,3.506,-0.502,-3.996,0.0279,4.68,0.11575,-0.775653958,1.886038661,0.2274,0.021365132
1AK4-ranair-it0-3705,0,0.024,0,9.654,37.609,4,1AK4,-26.78658,15.0621,2.894,6.658,-2.196,0.2085,11.73,0.064642,-0.941057086,1.878914237,0.2274,0.064539442
1AK4-cm-it0-293,0,0.007,0,18.114,68.439,4,1AK4,-29.8114,-53.4349,-1.052,1.353,-1.831,-0.0437,0.31,0.2624,-1.597662807,1.928638339,0.2274,0.009164794
1AK4-ti-it0-207,0,0.102,0.209,8.773,31.382,4,1AK4,-36.40031,-46.3781,4.47,2.547,2.255,0.0019,3.08,0.701948,1.037662268,1.16002667,0.2274,0.287353392
1AK4-cm-it0-8619,0,0.012,0,17.468,50.453,4,1AK4,-44.61481,-45.4736,-1.003,3.85,-1.787,-0.1188,17.44,0.323349,-3.505784035,1.957454324,0.2414,0.022532104
1AK4-ranair-it0-6229,0,0.025,0,13.295,33.291,4,1AK4,-20.84312,-7.00071,7.591,-1.273,-1.147,-0.0608,3.94,0.377679,-0.726255059,1.85256958,0.1662,0.026865458
1AK4-ranair-it0-6599,0,0.011,0,12.01,63.652,4,1AK4,-9.82282,13.9729,7.601,-6.22,-3.031,0.1096,3.02,0.097357,-1.399712801,1.920244098,0.2179,0.006602711
1AK4-cm-it0-2217,0,0.009,0,18.284,57.189,4,1AK4,-23.68176,-50.4374,-0.417,5.846,-3.979,-0.0596,25.27,0.402976,-1.617543221,1.939144373,0.2274,0.013761426
1AK4-ranair-it0-6524,0,0.016,0,10.593,50.118,4,1AK4,-20.09033,-22.2522,4.934,4.125,-0.18,0.0024,14.14,0.257291,-1.009156942,1.923422933,0.2274,0.017408644
1AK4-cm-it0-6387,0,0.01,0,14.737,57.732,4,1AK4,-30.11788,-19.4619,1.165,6.035,-3.172,0.0188,16.38,0.23647,-2.015025854,-0.053041816,0.194,0.018254112
1AK4-cm-it0-5075,0,0.013,0,17.651,46.374,4,1AK4,-51.96785,-73.3165,-3.844,-14.825,-0.187,-0.0261,-2.82,0.336113,-2.70227623,-1.410903335,0.1222,0.060888337
1AK4-ranair-it0-5715,0,0.016,0,15.08,42.468,4,1AK4,-20.9726,-46.2312,1.322,2.019,1.537,0.1093,-5.49,0.320516,-2.639568806,1.33367157,0.2274,0.016104553
1AK4-cm-it0-1665,0,0.006,0,23.167,69.842,4,1AK4,-32.4383,-38.5154,-0.727,4.87,-2.687,-0.0832,10.39,0.290317,-2.74004674,1.776243806,0.2487,0.006988022
1AK4-ranair-it0-2847,0,0.008,0,19.291,65.375,4,1AK4,-25.861617,-45.8988,1.054,-3.043,-0.372,-0.0787,-0.22,0.230103,-1.53887558,1.942512512,0.0841,0.00287521
1AK4-ranair-it0-5877,0,0.02,0,18.867,35.557,4,1AK4,-24.106,-35.7194,3.775,-0.291,-0.357,0.0395,5.86,0.262002,-1.061149001,1.950979948,0.2517,0.024544236
1AK4-cm-it0-2557,0,0.008,0,15.732,65.747,4,1AK4,-34.65119,-60.2091,-0.991,-3.571,-3.105,-0.1002,17.01,0.142924,-1.597169399,-0.162972331,0.2462,0.009149149
1AK4-ranair-it0-1164,0,0.012,0,19.485,48.004,4,1AK4,-10.95682,-25.4944,2.57,-6.964,-0.947,-0.0145,8.75,0.179159,-1.096159816,1.91520071,0.2274,0.006930676
1AK4-cm-it0-2529,0,0.013,0,12.132,54.276,4,1AK4,-36.71658,-42.6406,-1.034,0.991,-3.156,0.0386,8.49,0.170474,-1.451230168,0.512635112,0.2274,0.00679481
1AK4-cm-it0-7963,0,0.007,0,18.033,69.834,4,1AK4,-47.08324,-111.935,0.224,-5.014,1.627,-0.0633,-6.7,0.558604,-3.013210058,0.979888916,0.2274,0.084620431
1AK4-ranair-it0-6467,0,0.014,0,13.717,49.43,4,1AK4,-17.238034,-6.06966,-0.46,-9.112,-2.087,-0.0448,6.82,0.252311,-1.747822046,1.958807349,0.0884,0.014756875
1AK4-ranair-it0-6458,0,0.01,0,14.678,59.461,4,1AK4,-38.2041,-51.7791,13.189,2.38,-2.854,-0.0375,7.43,0.170152,-1.337434173,1.9550699,0.2274,0.049642675
1AK4-cm-it0-9418,0,0.008,0,17.917,62.106,4,1AK4,-51.12061,-89.5246,-2.262,-0.116,0.422,-0.1268,5.41,0.60724,-3.179889917,1.763138294,0.2111,0.080651553
1AK4-cm-it0-9759,0,0.013,0,16.608,46.908,4,1AK4,-63.30328,-64.7653,-1.389,-7.113,-3.038,-0.0734,-7.84,0.35089,-3.005759239,1.838810563,0.1545,0.012041523
1AK4-cm-it0-594,0,0.008,0,20.405,60.728,4,1AK4,-20.823689,-35.654,-1.222,-8.51,-1.062,-0.016,0.73,0.111757,-3.47473979,1.636485338,0.2274,0.008178374
1AK4-cm-it0-2764,0,0.007,0,18.406,69.06,4,1AK4,-29.30615,-43.692,-1.698,-2.482,1.082,-0.0109,8,0.185257,-2.689079285,0.417170763,0.1326,0.010178202
1AK4-cm-it0-7385,0,0.027,0,14.67,31.006,4,1AK4,-42.67008,-96.3908,-2.219,-9.652,2.094,-0.1199,-0.54,0.523498,-1.837414145,1.458395958,0.2418,0.092129647
1AK4-cm-it0-2258,0,0.018,0,14.184,40.796,4,1AK4,-42.97803,-62.5951,-0.929,-5.708,1.301,0.1058,14.35,0.310177,-1.614098787,1.95187068,0.186,0.005761393
1AK4-cm-it0-6834,0,0.009,0,19.818,59.396,4,1AK4,-53.37273,-65.2315,-1.479,-4.845,-4.137,0.0241,-2.08,0.463462,-3.800204754,1.815999985,0.2099,0.01450644
1AK4-ranair-it0-6040,0,0.006,0,16.535,82.632,4,1AK4,-26.40929,-10.616,-0.669,-6.706,0.628,-0.0156,-11.97,0.259872,-0.897669971,1.878229856,0.2274,0.045423455
1AK4-ranair-it0-828,0,0.041,0,11.75,24.719,4,1AK4,-43.69629,-52.6288,9.801,-9.481,-3.133,0.1625,0.49,0.494073,-0.204253256,1.896486521,0.2274,0.058393996
1AK4-cm-itw-201w,0,0.013,0,16.263,47.763,4,1AK4,-67.90835,-129.398,-4.002,-23.528,1.898,-0.1319,-20.84,0.289259,-2.045516014,1.022031307,0.2377,0.034128149
1AK4-ranair-it0-8307,0,0.011,0,17.155,51.132,4,1AK4,-23.70598,-28.6913,3.03,-8.685,1.147,0.0768,15.71,0.326269,-1.519432783,1.861640811,0.2274,0.019121324
1AK4-ranair-it0-5438,0,0.012,0,11.778,59.788,4,1AK4,-34.0153,-34.1019,2.913,5.16,-2.344,0.0179,-3.89,0.301169,-1.237398624,1.613331676,0.2274,0.021977296
1AK4-ranair-it0-8384,0,0.008,0,22.73,57.954,4,1AK4,-17.48201,-55.984,8.233,-1.602,-0.391,-0.006,-3.59,0.286981,-2.813203096,1.841803551,0.2274,0.010888827
1AK4-cm-it0-6847,0,0.008,0,19.277,60.918,4,1AK4,-25.20196,-60.0639,-0.859,8.119,-2.15,-0.065,33.37,0.247022,-3.458353519,1.95048964,0.1128,0.008705707
1AK4-cm-it0-7176,0,0.011,0,13.004,59.011,4,1AK4,-32.23584,-49.5959,-0.511,-0.107,-3.758,-0.0713,33.04,0.305161,-1.732098937,1.932133079,0.2274,0.00924197
1AK4-ranair-it0-7330,0,0.029,0,10.516,32.085,4,1AK4,-35.02356,-2.9001,2.633,-6.627,-3.443,-0.0123,-3.6,0.157644,-1.057064891,1.743406177,0.2274,0.028766536
1AK4-cm-it0-5801,0,0.009,0,18.227,58.908,4,1AK4,-38.35646,-60.1093,-1.035,5.616,-3.69,-0.0755,18.28,0.386496,-2.822892427,1.956919074,0.1174,0.009425311
1AK4-cm-it0-7743,0,0.008,0,17.739,64.925,4,1AK4,-34.9363,-52.8863,-1.482,11.175,-4.086,-0.0757,5.28,0.225955,-1.000466943,1.952918649,0.2274,0.006131172
1AK4-cm-it0-310,0,0.01,0,17.264,56.255,4,1AK4,-41.14693,-71.3504,-1.116,-0.909,-1.458,-0.0819,6.86,0.375427,-1.869187355,1.955177903,0.2274,0.011295963
1AK4-ranair-it0-6358,0,0.033,0,15.396,26.925,4,1AK4,-15.62051,-1.74335,10.659,1.888,-1.807,0.033,2.31,0.254711,-0.642580926,1.922926664,0.108,0.007240407
1AK4-cm-it0-7170,0,0.008,0,19.231,62.126,4,1AK4,-27.1829,-27.426,-1.3,-8.09,-4.534,0.0409,7.53,0.126833,-1.114310741,1.67735219,0.272,0.017636713
1AK4-cm-it0-8356,0,0.009,0,15.188,66.266,4,1AK4,-32.3721,-57.6565,-1.035,2.286,-0.066,0.2384,22.96,0.29714,-2.774194717,1.932104707,0.2274,0.032742968
1AK4-ti-itw-385w,0,0.143,0.302,8.547,25.825,4,1AK4,-62.71318,-117.615,-2.589,1.767,3.361,-0.0497,-41.91,0.74696,1.181010365,0.361510754,0.2274,0.152807665
1AK4-cm-it0-6994,0,0.021,0,11.287,39.027,4,1AK4,-32.19084,-22.7947,-0.928,-4.995,-1.006,-0.0726,18.46,0.156558,-1.436917424,0.005619287,0.2294,0.00747723
1AK4-ranair-it0-3536,0,0.008,0,18.009,63.909,4,1AK4,-15.02852,-2.08782,3.968,2.192,-5.135,-0.0533,8.78,0.017926,-1.311549783,1.961979508,0.2274,0.008770046
1AK4-ranair-it0-295,0,0.011,0,12.338,63.492,4,1AK4,-27.28241085,1.75233,2.233,-2.112,-1.692,0.007,-3.85,0.109767,-0.633475244,1.834573984,0.2274,0.009126053
1AK4-cm-it0-1224,0,0.007,0,20.639,66.922,4,1AK4,-40.31312,-35.7101,-1.906,-7.543,-3.774,-0.0722,-3.41,0.441802,-1.471507907,1.506150246,0.1282,0.020088613
1AK4-ranair-it0-4108,0,0.006,0,20.339,73.975,4,1AK4,-34.01551,-3.49291,-1.253,-3.058,-1.819,0.0075,4.68,0.317306,-1.816915512,1.939586163,0.2274,0.033012262
1AK4-cm-it0-6297,0,0.011,0,16.759,53.805,4,1AK4,-30.53862,-56.1641,-0.4,12.087,-0.979,-0.1544,24.19,0.465119,-0.581324339,1.950605631,0.2274,0.003158023
1AK4-cm-it0-3011,0,0.015,0,12.781,46.453,4,1AK4,-36.3381,-24.8919,-0.959,3.198,-2.237,-0.0696,9.53,0.372412,-0.993149579,1.663375258,0.2274,0.01423908
1AK4-cm-it0-9923,0,0.01,0,16.266,58.723,4,1AK4,-27.2856,-67.4963,-0.561,-0.974,-1.544,-0.0313,16.01,0.190625,-2.740643978,1.955387354,0.1522,0.005659535
1AK4-ranair-it0-8382,0,0.014,0,16.02,46.812,4,1AK4,-36.71395,-81.2145,8.972,2.205,-3.105,-0.0361,11.94,0.623822,-1.4669559,1.939912558,0.2075,0.2207574
1AK4-ranair-it0-2702,0,0.006,0,21.148,70.182,4,1AK4,-20.97764,-55.7762,3.498,-4.712,0.664,0.1235,0.52,0.161534,-2.881686687,1.800921798,0.2274,0.062311403
1AK4-ranair-it1-15,0,0.01,0,22.856,51.603,4,1AK4,-33.568359,-47.2304,-1.046,-8.412,-2.038,0.0014,12.71,0.126484,-0.800204813,-0.045071721,0.2274,0.009353417
1AK4-ranair-it0-167,0,0.018,0,13.362,41.475,4,1AK4,-24.87488,-37.3498,4.766,1.088,0.271,0.048,21.07,0.276106,-2.188808918,1.901522398,0.1284,0.004601827
1AK4-cm-it0-2289,0,0.009,0,19.676,57.597,4,1AK4,-39.6402,-53.5016,0.045,4.685,-6.803,-0.0704,9.75,0.47803,-1.614111543,1.94452095,0.1028,0.04358909
1AK4-cm-it0-7366,0,0.014,0,16.325,44.834,4,1AK4,-38.7816,-57.257,-0.602,-1.086,-3.558,-0.0312,16.25,0.285751,-0.641614676,1.952398896,0.2446,0.009733479
1AK4-ranair-it0-5979,0,0.009,0,22.101,58.11,4,1AK4,-15.66726,6.39682,6.179,10.321,-3.452,0.0543,10.62,0.077079,-1.417610884,1.88217485,0.2906,0.019111777
1AK4-cm-it0-3320,0,0.009,0,18.443,59.437,4,1AK4,-27.4256,-47.1907,-1.637,-1.149,-2.63,-0.0456,3.14,0.152544,-0.566301644,1.950688958,0.2013,0.005862612
1AK4-ranair-it0-5454,0,0.006,0,25.807,70.789,4,1AK4,-27.0791,-11.5696,0.609,4.334,-2.146,0.0163,0.21,0.285478,-1.414024591,1.785496831,0.1453,0.011562236
1AK4-cm-it0-1236,0,0.008,0,17.955,67.56,4,1AK4,-36.2072,-55.3966,-1.156,0.229,-3.176,-0.0524,16.86,0.162518,-1.249940038,1.94177568,0.2432,0.011176189
1AK4-ranair-it0-723,0,0.015,0,18.834,41.769,4,1AK4,-21.8927,24.5694,0.375,1.352,-2.102,-0.0632,1.16,0.043673,-2.114998817,1.84655714,0.2274,0.009338517
1AK4-cm-it0-4224,0,0.013,0,12.857,52.622,4,1AK4,-46.79443,-73.6045,0.911,-12.385,0.23,-0.0954,-5.38,0.463398,-1.977652431,1.914433122,0.1011,0.010324446
1AK4-ranair-it0-8752,0,0.016,0,12.571,44.431,4,1AK4,-34.07937,-29.3374,0.219,-5.381,0.133,0.0345,-0.43,0.197768,-1.686310887,1.616023779,0.2274,0.087136451
1AK4-ranair-it0-5311,0,0.007,0,23.141,65.41,4,1AK4,-13.3169,-4.08771,-1.135,1.246,-1.377,0.0408,8.84,0.117814,-3.242265224,1.89265871,0.2274,0.007519226
1AK4-cm-it0-7922,0,0.011,0,18.061,52.53,4,1AK4,-39.90705,-38.0559,-2.01,5.629,-2.399,-0.0414,-1.52,0.344838,-0.927234292,1.955355287,0.0783,0.010607298
1AK4-ranair-it0-7915,0,0.008,0,18.591,63.957,4,1AK4,-20.59049,-28.0441,9.771,0.981,-2.688,0.0245,-0.55,0.150327,-1.789926767,1.588171005,0.2274,0.005076149
1AK4-cm-it0-8386,0,0.01,0,13.641,62.116,4,1AK4,-16.98378,-70.3144,-0.295,10.824,-2.556,0.0874,4.31,0.177887,-1.639864564,1.951976657,0.2274,0.005951203
1AK4-cm-it0-1929,0,0.017,0,19.187,39.593,4,1AK4,-48.2356,-87.6488,-2.345,2.845,-1.864,-0.1624,9.4,0.695902,-0.89554137,1.79098177,0.2407,0.097594278
1AK4-ranair-it0-5589,0,0.026,0,19.18,30.389,4,1AK4,-37.51591,-23.4201,5.292,2.154,-3.524,-0.0165,0.42,0.137125,0.093026057,1.95977962,0.1483,0.041337203
1AK4-ranair-itw-121w,0,0.028,0,7.416,38.921,4,1AK4,-26.38458,-26.1098,-1.613,-11.582,1.339,-0.0135,4.94,0.118756,-0.114376031,1.831263065,0.2274,0.006011291
1AK4-cm-it0-8303,0,0.01,0,17.655,55.876,4,1AK4,-40.5441,-75.5642,-1.651,-3.77,-1.473,0.0435,22.6,0.326741,-1.958147407,1.911088586,0.1531,0.001331573
1AK4-ranair-it0-6374,0,0.018,0,19.559,38.392,4,1AK4,-17.091808,-33.1138,-0.998,-2.258,2.516,0.0774,4.71,0.204426,-1.319784999,1.944409609,0.2274,0.035326289
1AK4-ranair-it0-1013,0,0.009,0,19.031,57.373,4,1AK4,-40.71933,-57.6452,0.665,-7.311,-0.475,-0.0265,13.41,0.41851,-3.441627264,1.940762043,0.2984,0.012289645
1AK4-ranair-it0-6885,0,0.007,0,26.141,64.798,4,1AK4,-22.58305,-3.12301,6.478,2.783,-4.595,0.0025,3.49,0.101458,-1.769065738,1.894571543,0.2341,0.053387028
1AK4-ranair-it0-3469,0,0.009,0,13.127,69.516,4,1AK4,-37.73405,-1.76173,14.451,-0.102,1.492,-0.0463,-6.19,0.258233,-1.186456561,1.857066751,0.2274,0.057671672
1AK4-ranair-it0-4978,0,0.008,0,23.802,60.667,4,1AK4,-24.23226,-20.449,10.424,3.354,-5.322,0.0049,3.71,0.067708,-1.835437655,1.304342508,0.1171,0.084038653
1AK4-ranair-it0-6626,0,0.019,0,8.293,53.6,4,1AK4,-18.80765,-5.27815,9.353,-2.38,-0.788,0.053,-12.71,0.213166,-0.977876961,1.787212968,0.2274,0.018698339
1AK4-ranair-it0-9486,0,0.009,0,15.755,64.457,4,1AK4,-22.48889,-29.6097,8.17,-3.839,-0.532,0.0743,2.73,0.308763,-2.986683846,1.936198473,0.2274,0.032975425
1AK4-ranair-it0-4254,0,0.007,0,17.945,70.098,4,1AK4,-31.472665,-58.7957,6.401,-5.411,2.296,-0.0224,-11,0.292305,-1.912334085,1.954049349,0.1191,0.016454669
1AK4-cm-it0-4271,0,0.01,0,16.071,58.987,4,1AK4,-21.02802,-37.1771,-1.273,-3.24,-1.267,-0.097,7.3,0.249304,-1.86805582,1.779446721,0.2464,0.01119458
1AK4-cm-it0-6658,0,0.009,0,17.399,62.435,4,1AK4,-41.76774,-87.8121,-2.455,-1.473,1.119,-0.0454,10.04,0.587919,-3.25322485,1.936957002,0.2349,0.015760476
1AK4-cm-it0-6503,0,0.011,0,15.483,55.559,4,1AK4,-40.55828,-49.1282,-1.722,-8.089,0.313,-0.025,-1.41,0.113648,-1.700591683,1.472974181,0.2274,0.004292419
1AK4-ranair-it0-3244,0,0.01,0,15.243,58.232,4,1AK4,-6.2115,-49.4707,3.333,-1.23,-1.337,-0.0323,-9.94,0.323699,-1.447238922,1.14236784,0.2363,0.020157085
1AK4-cm-it0-9740,0,0.016,0,10.151,50.097,4,1AK4,-55.4332,-79.9762,-1.406,-5.72,-2.134,-0.063,5.89,0.230906,-0.765976191,1.662218451,0.2274,0.012014098
1AK4-cm-it0-4416,0,0.011,0,14.715,57.269,4,1AK4,-51.3231,-109.786,-1.014,5.518,-1.98,0.0176,-1.62,0.449831,-2.958579779,1.920270443,0.2062,0.099898691
1AK4-cm-it0-6105,0,0.011,0,15.839,54.776,4,1AK4,-35.3067,-47.8335,-0.821,19.42,-4.641,-0.0491,13.64,0.251424,-1.500737548,1.934378624,0.2274,0.015080453
1AK4-cm-it0-8759,0,0.011,0,15.356,55.834,4,1AK4,-29.90546,-60.498,-1.203,-0.494,-0.829,-0.0415,4.04,0.337493,-1.129846811,1.657426476,0.2274,0.017232629
1AK4-cm-it0-5226,0,0.008,0,16.525,64.038,4,1AK4,-30.145,-57.734,-0.218,4.676,-3.488,-0.0929,21.41,0.32848,-0.821147025,1.956280828,0.2274,0.009541993
1AK4-cm-it1-334,0,0.01,0,19.182,54.015,4,1AK4,-56.71136,-90.1472,-3.225,-4.712,-0.337,-0.0867,18.89,0.545503,-3.215838909,-1.15218842,0.2274,0.243069527
1AK4-cm-it0-8376,0,0.012,0,13.999,53.946,4,1AK4,-45.62748,-71.7599,-1.398,-9.445,-1.107,0.0279,-1.99,0.612919,-2.223249197,1.679926038,0.1532,0.005470267
1AK4-ranair-it0-6179,0,0.008,0,17.374,64.265,4,1AK4,-19.95767,-16.2194,8.891,1.427,-3.421,-0.0021,18.38,0.168675,-3.130032063,1.957611442,0.2584,0.004758521
1AK4-cm-it0-8616,0,0.012,0,14.479,53.667,4,1AK4,-47.13792,-59.7818,-1.15,0.951,-3.6,-0.1035,-9.06,0.431201,-1.376248121,1.803847313,0.0966,0.025656695
1AK4-ranair-it0-2755,0,0.006,0,22.619,71.345,4,1AK4,-29.60258,-47.245,-0.168,-8.308,-1.274,-0.0163,-8.81,-0.058044,-2.408655643,1.714408159,0.2274,0.050252875
1AK4-ranair-it0-2253,0,0.011,0,13.961,56.503,4,1AK4,-24.04982,-29.9665,-0.055,18.676,-3.456,-0.081,10.73,0.378992,-1.459128499,1.955419421,0.2274,0.008275411
1AK4-ranair-it0-1446,0,0.024,0,15.743,32.817,4,1AK4,-33.51777,-85.7692,5.312,-7.611,0.883,-0.0155,-7.69,0.558624,-0.091563903,-0.226090431,0.2274,0.05956847
1AK4-ranair-it0-1804,0,0.007,0,22.929,66.429,4,1AK4,-21.0505,-44.2702,2.275,-6.324,-2.026,0.0193,-6.79,0.406705,-2.230336905,1.696565032,0.1277,0.050195438
1AK4-ranair-it0-2284,0,0.008,0,16.024,71.136,4,1AK4,-14.66664,12.1599,4.931,-2.353,-1.062,0.0546,-1.43,0.145955,-1.36061728,1.964030862,0.2274,0.063080351
1AK4-ranair-it0-3239,0,0.008,0,17.434,63.462,4,1AK4,-24.8059,-59.301,4.905,15.926,-2.542,-0.0502,14.01,0.255179,-1.284288764,1.957954884,0.2274,0.008706996
1AK4-ranair-it0-5284,0,0.005,0,25.356,75.132,4,1AK4,-12.56427,25.6641,2.894,2.307,-1.657,-0.0397,4.74,0.102244,-3.111549139,1.945064545,0.2274,0.02390018
1AK4-cm-it0-1306,0,0.007,0,17.726,73.064,4,1AK4,-39.79135,-21.5101,-0.609,0.491,-1.951,-0.0633,1.41,0.111182,-1.38634336,1.959052444,0.2513,0.014387409
1AK4-cm-it0-8223,0,0.013,0,17.291,48.299,4,1AK4,-43.85931,-49.5162,-2.076,-11.59,0.662,-0.0394,-6.31,0.505775,-0.849986315,1.903715611,0.1432,0.151585353
1AK4-cm-it0-7270,0,0.008,0,16.883,68.675,4,1AK4,-34.7688,-63.5055,-1.298,-0.781,-3.437,-0.1236,3.2,0.332279,-1.501847148,1.467959642,0.2274,0.006297353
1AK4-cm-it0-2196,0,0.007,0,21.842,63.612,4,1AK4,-23.24734,-51.1455,-0.196,4.863,-1.375,0.2136,8.76,0.206882,-2.914405823,1.962487102,0.1096,0.002672124
1AK4-cm-it0-7568,0,0.008,0,15.909,66.235,4,1AK4,-37.1801,-35.5388,-0.659,0.246,-2.25,-0.0386,13.35,0.18816,-1.90809226,1.900153875,0.2388,0.011417977
1AK4-cm-it0-3924,0,0.007,0,17.376,72.164,4,1AK4,-42.06591,-38.0782,-1.288,-0.473,-1.53,-0.0053,11.24,0.237007,-1.377227306,1.928239942,0.2011,0.009967067
1AK4-cm-it0-1208,0,0.013,0,13.76,50.592,4,1AK4,-32.74066,-39.631,1.405,3.465,-2.509,-0.0325,9.4,0.369459,-1.228868604,1.939912081,0.2384,0.003790665
1AK4-ranair-it0-2158,0,0.01,0,15.198,60.573,4,1AK4,-20.22811,-67.694,9.977,5.774,-1.734,-0.0364,8.54,0.327409,-1.41315496,1.86337769,0.2274,0.005426631
1AK4-ranair-it0-8239,0,0.017,0,15.662,41.101,4,1AK4,-26.533576,-62.6064,2.208,-0.637,0.103,-0.1028,-1.46,0.480926,-0.69980824,1.944156766,0.1618,0.038171128
1AK4-ranair-it0-8577,0,0.012,0,17.356,48.615,4,1AK4,-21.847735,1.71193,3.583,-7.676,-2.388,-0.029,2.68,0.120949,-1.186818123,1.954965591,0.2274,0.017793609
1AK4-cm-it0-1416,0,0.013,0,14.596,49.048,4,1AK4,-51.89969,-76.8149,-1.525,-9.31,-1.711,-0.0874,2.06,0.510836,-2.805322647,-0.316649318,0.1094,0.015109984
1AK4-cm-it0-4065,0,0.008,0,17.74,64.925,4,1AK4,-35.4988,-52.8864,-1.483,11.179,-4.086,-0.0756,5.89,0.226011,-1.013982177,1.941752076,0.2274,0.006130607
1AK4-ranair-it0-6769,0,0.009,0,18.564,60.626,4,1AK4,-13.13205,-25.2192,4.833,-3.399,-2.467,0.091,9.39,0.103517,-3.228289604,1.957863331,0.2274,0.010171825
1AK4-cm-it0-6377,0,0.016,0,11.699,46.852,4,1AK4,-13.10434,-40.0977,1.91,9.1,-2.455,-0.0195,23.34,0.182413,-1.434179187,0.621591687,0.2274,0.011696361
1AK4-ranair-it0-3864,0,0.008,0,24.941,59.416,4,1AK4,-26.67643,-26.1763,1.296,-2.708,-1.287,-0.02,8.07,0.113117,-2.293632746,1.928066254,0.2274,0.041562001
1AK4-ranair-it0-9208,0,0.02,0,18.087,35.45,4,1AK4,-14.61368,-44.7991,5.673,3.154,0.526,-0.0768,5.75,0.158989,-0.065323964,1.95410347,0.2322,0.00518464
1AK4-ranair-it0-2923,0,0.01,0,12.669,65.414,4,1AK4,-26.399523,-4.37498,-1.09,-1.614,-1.563,0.0305,-2.37,0.141603,-0.610177815,1.94344759,0.2274,0.008176722
1AK4-ti5-it0-935,0,0.051,0.047,9.041,28.745,4,1AK4,-42.26813,-79.0313,-1.995,-11.318,3.421,-0.1065,-9.2,0.651362,0.42781204,0.902270734,0.2274,0.016666935
1AK4-ranair-it0-9568,0,0.016,0,11.685,48.022,4,1AK4,-42.85209,-59.2478,11.248,-5.836,2.486,-0.0143,-7.15,0.410546,-2.089247227,1.327659249,0.2274,0.101953973
1AK4-ranair-it0-2561,0,0.031,0,11.769,29.529,4,1AK4,-17.92975,-65.3809,-0.047,-7.833,-0.081,-0.0418,7.39,0.294436,-0.803118587,1.8559376,0.2274,0.021824963
1AK4-cm-it0-5012,0,0.013,0,13.458,50.403,4,1AK4,-43.93904,-51.5613,-2.207,1.484,-2.857,-0.0625,5.18,0.343708,-1.711776018,1.727396011,0.2396,0.053003739
1AK4-ranair-it0-4278,0,0.009,0,23.395,56.128,4,1AK4,-26.27252,-25.7411,6.952,-1.611,-2.004,-0.0187,6.59,0.274765,-1.97315836,1.813977718,0.2457,0.03389668
1AK4-ranair-it0-1002,0,0.01,0,22.01,52.565,4,1AK4,-12.61851,-55.799,9.722,3.852,-1.251,-0.0712,2.72,0.238248,-1.271614552,1.67492187,0.1743,0.054428418
1AK4-ranair-it0-9937,0,0.01,0,14.993,61.317,4,1AK4,-13.02406,17.5786,7.444,8.35,-4.35,0.1042,24.07,0.31558,-3.230480909,1.939440727,0.1233,0.040183688
