PDB,seqid,classification,PID,label,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,GNN-DOVE,dMaSIF,DeepRank-GNN,PIsToN
T29_2022,90.9,incorrect,T29,0,-109.1833,494.799,176.931,-31.365,6.126,-0.1803,-38.5,0.812647,0.2693,0.657158434,0.010279951,0.997638404
T29_2023,88.3,incorrect,T29,0,-80.28124,22.2802,-1.807,-19.397,-0.787,0.0264,13.1,0.430639,0.3575,-0.298155576,0.008736794,1.936779261
T29_2024,90.9,incorrect,T29,0,-65.14639,-119.858,-3.282,-15.472,3.079,0.0476,-42.03,0.509711,0.5698,0.302734286,0.056939613,0.03820014
T29_2027,90.9,incorrect,T29,0,-94.97585,-245.861,8.49,-9.011,1.338,-0.0914,-45.7,1.109398,0.2765,0.436005741,0.033464782,-0.005108118
T29_2028,90.8,"clashes,incorrect",T29,0,-68.4754,1868.9,629.806,20.201,-4.237,0.0554,-75,0.361866,0.2719,-1.617464781,0.010636565,1.892628312
T29_2029,88.2,incorrect,T29,0,0.4255479999999997,17.2703,26.778,2.308,1.218,0.1259,28.56,0.086701,0.2274,-1.420590997,0.006678327,1.940083861
T29_203,94.5,incorrect,T29,0,-75.44148,-168.538,-4.876,-16.558,0.42,-0.0929,-42.37,0.761235,0.2287,1.223204136,0.011731008,0.093951225
T29_2030,90.9,incorrect,T29,0,-191.28629,-213.414,-16.373,-41.958,6.219,-0.3101,-53.07,1.075429,0.6354,-2.234351397,0.052616008,-1.673547506
T29_2031,90.9,incorrect,T29,0,2582499.947,1810.66,406.689,11.701,-2.051,0.0795,-2.31,-0.480172,0.2274,-1.26582253,0.005115926,1.822808266
T29_2032,90.9,incorrect,T29,0,-106.7106,-153.724,-3.047,-7.36,2.369,-0.1098,-28.31,0.589156,0.2301,-0.40918383,0.050995152,1.576654792
T29_2033,90.9,medium,T29,1,-173.0977,-359.517,-7.765,-55.124,13.054,-0.2725,-83.49,1.688494,0.2575,1.261851072,0.170406431,-1.387020111
T29_2034,90.9,incorrect,T29,0,-101.1184,410.031,139.826,-12.829,4.177,-0.0333,-16.29,0.843107,0.4668,-0.123458713,0.021750372,1.279925823
T29_2035,90.9,incorrect,T29,0,-77.75023,-67.9031,-3.644,-2.011,-2.732,-0.0195,8.46,0.562714,0.2939,-0.987577677,0.010279951,1.919745803
T29_2036,90.9,incorrect,T29,0,-95.0453,2416.66,612.51,15.623,-5.072,0.0113,-47.9,0.623146,0.4995,-1.348609328,0.017690275,1.715228319
T29_2037,90.9,incorrect,T29,0,-83.707,-143.447,-3.922,3.183,-2.633,-0.069,1.23,0.554174,0.3348,-1.084673285,0.010279951,1.941902995
T29_2038,90.9,incorrect,T29,0,-50.48789,-36.6727,-0.482,7.328,-0.722,0.1455,11.76,0.148697,0.3666,-0.553338826,0.005911308,1.911878586
T29_2039,90.8,incorrect,T29,0,-90.99159,358.09,174.805,-23.645,4.521,-0.0361,-74.21,0.992901,0.2775,-0.132779792,0.008903811,1.851024032
T29_204,90.9,incorrect,T29,0,-45.57957,-186.972,-1.383,-4.966,-2.186,-0.0445,-33.89,0.949513,0.3241,0.107537195,0.00901927,0.677722573
T29_2040,90.9,incorrect,T29,0,-85.807,-159.266,-5.926,-24.293,12.544,-0.2445,-28.45,0.99976,0.2274,-0.274280697,0.010383734,0.020962
T29_2041,94.5,incorrect,T29,0,7142646.386399999,1374.15,261.343,-21.274,5.721,-0.0554,-10.59,0.099338,0.2274,0.679747641,0.193710342,1.715600491
T29_2042,90.9,incorrect,T29,0,-94.88428,-261.793,-3.912,-16.495,7.275,-0.1632,2.13,0.914542,0.234,-0.45577839,0.086015545,1.222129941
T29_2043,88.3,incorrect,T29,0,-47.40388,697.717,185.666,3.596,2.544,-0.0095,21.41,0.355095,0.2286,-0.522339702,0.015005798,1.928347468
T29_2044,90.9,incorrect,T29,0,-41.8554,-100.252,1.25,-0.146,-0.962,0.0107,2.51,0.343786,0.2274,-0.809780121,0.007849296,-1.355788231
T29_2045,90.9,incorrect,T29,0,-249.53142,-389.133,-17.167,-40.898,9.303,-0.2673,-92.81,1.536448,0.2274,-1.152893066,0.071731046,-1.8080585
T29_2046,88.3,incorrect,T29,0,-47.69709,248.239,34.312,-14.62,0.506,-0.1589,-11.05,0.793975,0.2742,-0.365014821,0.059183586,0.964553595
T29_2047,88.3,incorrect,T29,0,-110.38761,-152.367,0.934,-22.196,-6.198,0.0428,-1.1,0.808113,0.2801,-1.209368587,0.004901441,1.907898188
T29_2048,90.9,incorrect,T29,0,-173.8177,-296.145,-10.379,-15.846,3.997,-0.0792,-16.78,1.058769,0.2777,-1.28898108,0.010279951,-1.078139663
T29_2049,90.9,incorrect,T29,0,-57.83661,1707.63,335.633,2.717,-9.029,0.36,-14.44,0.266034,0.2639,-0.590174377,0.010279951,1.934809566
T29_205,88.2,incorrect,T29,0,-58.1302,78.4674,104.688,-19.024,5.85,-0.0092,-34.52,0.792903,0.2274,0.895758927,0.010279951,1.872843742
T29_2050,90.9,incorrect,T29,0,-66.67182919,-188.694,-3.061,-20.184,4.446,-0.1712,-39.39,0.493636,0.2944,-0.659627676,0.008438548,0.860678017
T29_2051,90.9,incorrect,T29,0,-60.9421,-74.3342,1.253,12.938,-5.557,-0.0353,7.34,0.561717,0.2274,-0.797086656,0.009972556,1.822119355
T29_2052,90.9,incorrect,T29,0,-64.1015,-113.373,-0.847,-4.826,-3.011,-0.2126,12.63,0.455183,0.2761,-1.223994136,0.010279951,1.947168708
T29_2053,90.9,incorrect,T29,0,-69.1152,-177.37,-3.064,-24.686,11.538,-0.0741,-22.41,0.704079,0.25,-0.49206695,0.011006539,0.086555243
T29_2054,90.9,incorrect,T29,0,-47.607,1068.19,403.771,7.753,-5.213,0.0616,-21.38,0.084428,0.2396,-1.235139132,0.010279951,1.445735335
T29_2055,90.9,incorrect,T29,0,-46.34066,-148.934,1.731,-9.875,-0.596,-0.0359,-14.72,0.537846,0.2867,-0.959050655,0.00853676,1.92007339
T29_2056,90.9,incorrect,T29,0,-76.5749,1849.4,362.228,-6.497,-6.416,0.1687,-16.46,0.185634,0.3295,-1.04478848,0.00687525,1.861317039
T29_2057,90.7,incorrect,T29,0,-92.9148,-174.93,-5.301,-32.645,4.796,-0.0345,-47.57,0.554612,0.4074,-0.037122194,0.02517331,0.116925478
T29_2058,90.9,incorrect,T29,0,-77.571328,171.409,114.785,-3.492,0.284,0.0568,-11.88,0.698838,0.3169,-2.314366102,-0.293256581,1.912487507
T29_2059,90.9,incorrect,T29,0,-94.3234,263.892,99.212,6.235,-8.827,0.1113,5.24,0.116462,0.3221,-0.852643728,0.010279951,1.944945931
T29_206,90.9,incorrect,T29,0,-104.42526,-133.5,-6.309,-21.434,2.387,0.0205,-9.99,0.677641,0.2643,-0.149304047,0.010279951,0.896712363
T29_2060,90.9,incorrect,T29,0,-43.718286,1601.34,420.367,19.164,-3.868,-0.0935,-21.65,0.197551,0.3377,0.283997416,0.010279951,1.887547135
T29_2061,90.9,incorrect,T29,0,-53.44143,1740.34,524.187,14.643,-1.391,0.1664,0.25,0.279263,0.3377,-0.831339836,0.029145494,1.817627072
T29_2062,90.9,"clashes,incorrect",T29,0,-67.37067,3244.71,970.625,13.791,-5.721,-0.1999,-116.58,0.27417,0.2737,-1.125459552,0.010279951,-0.557679653
T29_2063,88.3,incorrect,T29,0,-91.1016,850.717,338.735,-15.958,3.146,0.078,-26.03,0.558528,0.2274,0.634586453,0.001276447,1.84812057
T29_2064,90.9,"clashes,incorrect",T29,0,-34.5312,4609.95,949.172,37.669,-13.488,0.1288,-25.9,-0.578849,0.6505,-1.33404386,0.010279951,1.825487852
T29_2065,90.9,"clashes,incorrect",T29,0,1499.3366560000002,7284.4,1971.749,34.548,2.417,0.0649,-119.7,-0.203347,0.2321,-0.301014572,0.010279951,-0.077746153
T29_2066,90.9,"clashes,incorrect",T29,0,-1.17005,4209.09,1193.064,18.238,-7.575,0.1709,-93.36,-0.456052,0.2274,-1.093908906,0.009771741,0.259319663
T29_2067,90.9,incorrect,T29,0,-82.8946,808.852,236.026,-24.573,3.859,-0.2547,-57,0.615639,0.2733,-0.182333648,-0.269467562,-0.040971875
T29_2068,88.2,incorrect,T29,0,-16.763078,-17.0004,11.773,-5.75,2.816,0.043,5.54,0.068516,0.2274,-2.130858183,0.00375141,1.94277513
T29_2069,88.3,incorrect,T29,0,-30.6654,-105.338,-1.377,9.553,-0.981,-0.1183,40.68,0.470904,0.2296,-1.554625511,0.00697149,1.528152823
T29_207,90.9,incorrect,T29,0,-101.78448,-135.38,-6.465,-30.185,11.619,-0.2679,-5.94,0.586576,0.2315,-0.812147439,0.009113865,0.834694624
T29_2070,90.9,incorrect,T29,0,-86.5654,1069.23,288.04,1.291,1.726,-0.0482,-33.94,0.722649,0.2424,-1.729941726,-0.0310145,0.049014688
T29_2071,90.9,incorrect,T29,0,10199330.9,1218.55,459.027,14.489,0.795,-0.0327,-51.5,0.177489,0.2274,0.765375674,0.004214174,0.630240142
T29_2072,90.9,incorrect,T29,0,-85.65185,-108.093,-1.592,-28.576,-1.534,-0.1465,-33.3,0.556683,0.2274,-0.528514028,0.016197531,1.248215795
T29_2073,90.9,"clashes,incorrect",T29,0,-17.72659,6556.82,1568.881,35.745,-5.735,0.1326,-77.26,-0.880498,0.6021,-1.743365169,0.010279951,1.004664898
T29_2074,90.9,incorrect,T29,0,-204.0061,-268.944,-15.239,-35.277,-6.111,-0.2417,-77.52,1.36344,0.2274,-1.421903133,0.010279951,-1.674564123
T29_2075,90.9,incorrect,T29,0,-100.5808,991.411,349.363,-11.11,7.329,0.4221,-60.69,0.903063,0.2945,0.961400628,0.082324624,-0.113010049
T29_2076,90.9,incorrect,T29,0,-106.3601,-257.064,-3.59,-39.148,10.131,-0.121,-22.67,1.113211,0.2307,0.96137774,0.0414907,0.497559786
T29_2077,90.9,incorrect,T29,0,-47.607,1068.19,403.771,7.753,-5.213,0.0616,-21.38,0.084428,0.2396,-1.235139132,0.010279951,1.437144876
T29_2078,88.3,incorrect,T29,0,-86.19039,337.155,143.484,-17.714,7.679,-0.1411,-18.28,0.882714,0.2327,1.183662534,0.010279951,1.633392096
T29_2079,94.5,incorrect,T29,0,-84.6787,-28.9854,1.013,-27.413,3.687,-0.0491,-47.01,0.801373,0.2274,-0.454931796,0.10187044,-0.004671097
T29_208,90.9,incorrect,T29,0,-64.5093,395.657,74.396,19.923,-8.905,0.0929,3,0.319563,0.3295,-1.614841223,0.010279951,1.937586069
T29_2080,90.9,incorrect,T29,0,-81.8505,-114.488,-0.219,-4.36,-6.053,0.0849,-12.41,0.612095,0.3638,-1.000095129,0.010279951,1.809464812
T29_2081,88.2,incorrect,T29,0,-75.2727,437.198,186.111,-10.362,4.176,0.1104,-49.56,0.887598,0.2274,0.282961637,0.010279951,1.905484676
T29_2082,90.9,incorrect,T29,0,-149.64887,-119.881,-11.071,-16.345,-1.666,-0.2161,-54.61,0.287559,0.2274,-0.629592657,0.009083079,-0.336335421
T29_2083,90.9,"clashes,incorrect",T29,0,67.30510000000001,8261.54,2144.012,73.393,-10.488,0.4691,-13.94,-1.060725,0.6254,-1.185824275,0.012592996,1.877010584
T29_2085,90.9,incorrect,T29,0,-100.46501,-179.398,-2.862,-7.933,11.579,0.0035,-17.35,0.896102,0.2449,-0.759206176,0.010279951,1.460949898
T29_2086,90.9,incorrect,T29,0,-45.2676,2230.85,794.88,26.022,-7.012,0.1622,-38.79,0.099177,0.3225,-2.466278076,0.010279951,1.283293724
T29_2088,90.9,incorrect,T29,0,-98.0007,-201.332,-2.598,-7.118,-2.38,-0.1144,-18.47,0.931416,0.2274,-0.337733388,0.055773664,1.364006996
T29_2089,94.5,acceptable,T29,1,-65.1627,1371.97,525.019,-29.916,9.483,-0.1237,-63.54,0.712605,0.2274,1.176469088,0.312434494,0.008770704
T29_209,90.9,incorrect,T29,0,-107.35721,-70.3197,-2.781,-13.52,-3.914,0.1587,20.58,0.275316,0.294,-1.539822459,0.010279951,1.917516351
T29_2090,90.9,incorrect,T29,0,-122.6945,-217.764,-6.293,-43.227,6.528,-0.1031,-24.3,0.908963,0.2284,0.554993272,0.012790241,1.822311282
T29_2091,88.3,incorrect,T29,0,-55.14156,413.616,105.147,0.618,2.871,0.1715,-8.14,0.6718,0.2602,0.233824551,0.013481566,1.608306408
T29_2092,90.9,"clashes,incorrect",T29,0,1708.9238999999998,5899.98,1334.619,48.387,-6.63,0.3117,-24.42,-1.181475,0.2741,-1.01079607,0.199704662,0.203467727
T29_2093,88.3,incorrect,T29,0,-67.17748,83.0473,66.013,-12.319,-0.993,0.121,-5.6,0.610045,0.2779,-0.1565115,0.001746224,0.955986977
T29_2094,94.5,incorrect,T29,0,-59.65703,-177.685,-3.078,-11.693,3.416,-0.1998,-25.42,0.698136,0.2445,1.094699502,0.054082148,1.573523045
T29_2095,90.9,incorrect,T29,0,-143.2569,-150.85,-7.193,-45.075,8.325,-0.1005,-29.19,1.259767,0.2602,0.507804275,0.010279951,0.708233237
T29_2096,90.9,incorrect,T29,0,-113.0285,-309.86,-4.535,-30.335,13.871,-0.325,-54.33,1.069181,0.2545,0.670421243,0.026230909,0.062666297
T29_2097,90.9,incorrect,T29,0,-156.1109,-118.863,-15.446,-10.6,-3.395,-0.1654,17.79,0.446508,0.2274,-0.845953703,0.010279951,0.55530858
T29_2098,90.9,"clashes,acceptable",T29,1,-72.3812,1938.03,622.914,-15.33,8.211,-0.1979,-75.37,0.693675,0.3153,0.144901887,0.369163841,-0.078599691
T29_2099,90.9,incorrect,T29,0,-98.55325,773.672,246.787,-9.208,4.396,-0.0637,-68.34,1.030634,0.3277,0.148179516,0.010279951,0.700868905
T29_21,90.9,incorrect,T29,0,-29.30786,-69.6013,-0.116,-1.523,3.33,0.0236,20.02,0.356937,0.2274,-1.305424094,0.060282957,1.6798563
T29_210,90.9,"clashes,incorrect",T29,0,-56.62956,2928.31,717.738,35.706,-14.05,-0.0536,-46.99,0.006669,0.4887,-1.44342649,0.010279951,1.671908617
T29_2100,90.9,incorrect,T29,0,-94.0538,-135.901,-3.939,-41.851,4.151,-0.1244,-13.19,0.806972,0.2538,0.529208839,0.008074001,1.951284766
T29_2101,90.7,incorrect,T29,0,-67.11827,-124.258,-3.789,-19.243,3.796,-0.0693,-29.81,0.915612,0.2274,-0.933080196,0.010279951,0.08837235
T29_2102,90.9,incorrect,T29,0,-96.625,-190.433,1.372,-22.989,6.145,-0.1465,-58.29,1.558671,0.584,1.152966261,-0.324995339,-1.074979782
T29_2103,94.5,incorrect,T29,0,-73.8067,105.771,133.787,-26.159,6.499,0.0335,-37.83,0.620529,0.2803,0.620430529,0.010279951,0.330462694
T29_2104,90.9,incorrect,T29,0,-85.562814,777.487,113.853,11.965,1.577,0.2778,11.69,0.478457,0.5194,-1.298895359,0.010279951,1.914408445
T29_2105,90.7,incorrect,T29,0,-38.59872,-56.5389,-1.455,-12.51,3.042,-0.1443,-5.22,0.386694,0.2274,-1.080258727,0.020668011,1.879983902
T29_2107,90.9,incorrect,T29,0,-207.2568,-218.762,-14.109,-30.586,-2.951,-0.1165,-70.62,1.436178,0.6259,-0.697460592,0.010279951,-1.788980961
T29_2108,90.8,incorrect,T29,0,-100.018074,1841.01,477.233,5.989,4.31,0.079,-32.14,0.21649,0.6641,-1.175293803,0.006416859,1.87754333
T29_2109,88.2,acceptable,T29,1,-133.8642,-328.139,-6.919,-56.719,10.507,-0.2276,-48.87,1.103478,0.2842,2.688689232,0.14686808,0.036796093
T29_211,90.9,incorrect,T29,0,-81.18236,-194.068,-3.689,-28.515,3.112,-0.2161,-15.78,0.767181,0.239,-1.547392011,0.008638768,1.626826763
T29_2110,90.9,incorrect,T29,0,-228.315958,-436.083,-16.38,-33.049,10.257,-0.0584,-95.87,1.997025,0.6261,-0.045985702,0.010279951,-1.773625731
T29_2112,88.2,incorrect,T29,0,-40.696218,211.756,76.821,-18.149,1.594,0.1099,-1.95,0.249397,0.2274,-0.645107865,0.010279951,1.965258837
T29_2113,90.9,incorrect,T29,0,-157.54151,-323.291,-7.523,-21.345,18.045,-0.4979,-49.31,1.359034,0.3339,-0.624590039,0.010279951,0.460716844
T29_2114,90.8,incorrect,T29,0,-85.2138,1603.55,274.918,-35.938,1.782,0.1524,-81.63,0.604199,0.2274,-1.659425855,0.00409442,0.627049804
T29_2117,88.3,incorrect,T29,0,-58.65864,329.007,61.732,-1.62,5.401,0.1251,-1.49,0.862922,0.2512,0.156004027,0.059306454,1.701943636
T29_2118,90.9,incorrect,T29,0,-46.93054,-64.1149,-2.087,-17.201,1.59,0.0186,7.9,0.390212,0.2274,-0.356200814,0.006591141,1.946360826
T29_2119,88.3,incorrect,T29,0,-97.7726,-137.153,3.385,-24.274,3.021,-0.2076,4.2,0.978208,0.2374,0.754423738,0.013253184,1.382833242
T29_212,90.9,"clashes,incorrect",T29,0,21.914919999999995,5782.56,1770.065,31.088,0.597,-0.0907,-196.83,0.542262,0.2727,-0.339973509,0.021632794,-1.532081842
T29_2120,90.9,incorrect,T29,0,-119.15825,4.34028,-3.662,-1.835,-3.235,-0.0082,-10.27,0.574504,0.3212,-0.978589058,-0.327767074,1.881750941
T29_2121,90.9,incorrect,T29,0,-101.95327,-218.646,10.305,-26.754,3.594,0.0855,-26.23,0.983276,0.5963,-0.541591644,0.006292575,0.989616871
T29_2122,90.9,incorrect,T29,0,-103.62813,741.392,259.336,-7.151,5.168,-0.1038,-66.42,1.141756,0.4692,0.393882185,0.027223621,0.466519117
T29_2124,94.5,incorrect,T29,0,-60.08194,678.181,248.438,-26.382,6.448,-0.0561,-56.56,0.797763,0.2274,1.200411081,0.010279951,1.228065252
T29_2125,90.9,incorrect,T29,0,-91.5191,1901.26,520.396,-3.541,0.293,0.0319,-73.56,0.614931,0.3462,-0.400097907,0.010279951,-0.004954696
T29_2126,90.9,incorrect,T29,0,-50.3643,216.379,61.04,18.025,-7.773,0.2358,23.32,0.342302,0.2274,-0.948971868,0.010279951,1.948823929
T29_2127,90.9,incorrect,T29,0,-154.4678,-158.546,-13.023,-22.402,-2.796,0.0471,-72.44,0.805213,0.2274,-0.678973734,0.010279951,-1.27939105
T29_2128,90.8,incorrect,T29,0,-60.014389,241.339,140.703,2.088,-2.184,0.0422,11.57,0.225695,0.3642,-1.306777954,0.00435748,1.940278292
T29_2129,90.9,incorrect,T29,0,-19.3001,-148.02,15.356,6.789,-0.141,-0.2484,-26.79,0.648817,0.3106,-0.545330763,0.019068964,1.341443896
T29_213,90.9,incorrect,T29,0,-73.0688,426.353,177.783,9.848,-2.332,0.0357,-12.07,0.568698,0.2643,-1.287754655,0.009749593,1.88961339
T29_2130,90.9,medium,T29,1,-170.8454,-337.424,-5.055,-49.623,16.698,-0.3257,-67.13,1.618086,0.264,1.478890657,0.264263809,-0.481458426
T29_2131,90.9,incorrect,T29,0,-32.59567,348.339,131.653,-12.384,1.894,-0.125,-41.32,0.214371,0.2959,-0.92282927,0.007506999,0.548706651
T29_2132,90.9,"clashes,incorrect",T29,0,50.37373,8011.84,2396.332,40.967,-0.752,0.0159,-216.84,-0.415662,0.2274,-1.274724245,0.010279951,-1.885288954
T29_2133,90.7,incorrect,T29,0,-80.83554,-194.615,1.634,-30.186,7.022,-0.0603,-34.32,0.5954,0.3193,0.714699924,0.022136293,0.784447551
T29_2134,90.9,incorrect,T29,0,-63.0941,-108.322,-1.961,-8.036,-2.541,0.0366,-30.77,0.604096,0.2274,-0.983920336,0.010279951,1.418682098
T29_2135,90.9,acceptable,T29,1,-73.76688,1715.93,588.091,-20.225,11.629,-0.3222,-77.36,0.692865,0.2403,0.282713503,0.299866438,0.153659701
T29_2136,90.9,incorrect,T29,0,-58.409448,-4.05741,7.169,-18.696,3.762,0.0257,-62.69,0.471651,0.6241,0.100535385,0.033894137,-1.729851961
T29_2137,94.5,incorrect,T29,0,-107.7413,-226.732,1.594,-33.539,8.764,-0.1701,-60.15,0.496995,0.328,0.62594378,0.025560584,-0.778564751
T29_2138,90.9,incorrect,T29,0,-48.9176,212.087,107.855,22.073,-4.73,-0.0986,21.17,0.569563,0.3656,-0.86036551,0.010279951,1.149218559
T29_214,90.9,"clashes,incorrect",T29,0,-55.59359,4075.02,963.435,4.53,-11.699,0.0513,-46.95,-0.296268,0.2816,-0.990884006,0.010279951,1.908040643
T29_2141,90.9,incorrect,T29,0,-101.31557,-128.072,1.406,-12.54,-1.826,-0.1199,-46.17,1.293495,0.3656,-0.188840583,0.006886944,0.079657316
T29_2142,90.9,"clashes,incorrect",T29,0,1793.97544,8542.92,2124.612,50.893,-6.297,0.2592,-47.86,-1.362019,0.2716,-1.790442705,0.038152255,1.880826712
T29_2143,88.3,incorrect,T29,0,-75.82991,-134.761,13.027,-3.747,0.811,-0.1366,-33.16,0.737473,0.281,-1.820893288,0.004797554,0.362158895
T29_2145,94.5,"clashes,incorrect",T29,0,-103.9591,2521.84,620.21,-28.403,1.476,-0.1191,-95.73,0.253562,0.3004,0.452380359,0.010279951,1.338911414
T29_2146,90.9,incorrect,T29,0,-117.3132,-248.375,-6.021,-7.015,10.354,-0.1821,-12.79,1.181188,0.2557,-1.198758841,0.023956556,0.828441858
T29_2147,90.9,incorrect,T29,0,-70.82097,-46.4803,-3.589,7.596,-2.877,-0.1409,-7.77,0.75031,0.2534,-0.873726189,0.033449311,1.90465188
T29_2148,90.9,incorrect,T29,0,-41.00012,-34.3718,28.913,-2.17,-1.121,-0.0368,12.93,0.365591,0.3039,-0.968686581,0.006760534,1.94460845
T29_2149,90.9,incorrect,T29,0,-58.53643,1093.45,326.183,21.952,1.427,0.0677,2.54,0.620108,0.2396,-1.556543469,0.010279951,1.42476213
T29_215,90.9,"clashes,incorrect",T29,0,-10.79389,5453.24,1879.57,19.402,-0.106,0.0824,-178.43,0.620094,0.2611,-0.670972824,0.010279951,1.758181453
T29_2150,90.9,"clashes,incorrect",T29,0,-38.02014,8073.33,1631.211,40.633,-11.993,0.326,-85.54,-1.170905,0.2274,-0.850921214,0.010279951,1.912444592
T29_2151,88.3,incorrect,T29,0,-48.56418,27.7292,65.21,-11.476,4.113,-0.0376,-7.34,0.62141,0.2274,0.643871844,0.021371003,1.657659054
T29_2152,90.5,incorrect,T29,0,-137.5137,-269.871,-9.143,-32.025,15.795,-0.1868,-64.18,1.465393,0.2274,0.761472285,0.064920753,-0.642846823
T29_2153,90.9,incorrect,T29,0,-141.54147,-202.485,-7.25,-23.235,12.531,-0.2129,-25.61,0.778706,0.3244,-1.230877876,0.010279951,-0.001917601
T29_2154,90.9,incorrect,T29,0,-55.03902,649.821,247.435,15.473,0.389,-0.1685,-25.88,0.85251,0.3281,0.844119787,0.010279951,1.815440178
T29_2155,90.9,incorrect,T29,0,-32.104236,545.852,197.223,-3.112,3.032,-0.0267,-41.33,0.093251,0.2448,-0.494564652,-0.0440145,1.416488886
T29_2156,90.9,"clashes,incorrect",T29,0,9.99332,5063.78,1599.021,34.038,6.588,-0.3391,-177.89,0.511706,0.2445,0.3533355,0.012436206,0.500384808
T29_2157,90.9,incorrect,T29,0,-88.66398,-181.845,-5.148,-24.026,2.222,-0.2173,-35.57,1.124173,0.2274,2.253928423,0.016373184,0.541110635
T29_2158,90.7,incorrect,T29,0,-125.84754,-306.591,-2.696,-32.33,5.491,-0.2388,-59.63,1.285827,0.2575,0.15233691,0.018511033,-1.558998704
T29_2159,90.9,"clashes,incorrect",T29,0,-37.68218,3133.31,934.566,11.841,-6.661,0.1133,-111.81,0.172337,0.2663,-1.116737247,0.010279951,1.930472255
T29_216,90.9,incorrect,T29,0,-57.6528,1710.48,491.246,16.354,-8.048,0.0936,-22.05,-0.091435,0.3068,-0.739456534,0.010279951,0.881856084
T29_2160,90.9,incorrect,T29,0,-91.5139,151.49,173.022,-27.973,6.473,-0.0373,-61.26,1.117608,0.2274,0.226279885,0.010279951,0.519967556
T29_2161,88.3,incorrect,T29,0,-61.09278,78.6505,29.694,-7.149,-1.071,-0.0592,26.6,0.545264,0.2998,-0.046445403,0.100039616,1.95499146
T29_2163,90.9,incorrect,T29,0,-118.38945,-223.522,-5.939,-9.832,9.612,-0.4029,-47.22,0.888303,0.3605,-0.519487798,0.056555133,0.137414932
T29_2164,90.9,incorrect,T29,0,-65.41002,1121.75,190.27,6.125,-2.126,-0.0047,4.76,0.21762,0.2274,-3.037995577,0.030489415,1.543750525
T29_2165,90.9,incorrect,T29,0,-104.10755,-177.586,-4.172,-14.913,7.965,-0.1934,-40.19,0.889759,0.2328,0.542788982,0.00895769,1.374199271
T29_2166,88.3,incorrect,T29,0,-64.64546,-73.1149,-2.654,4.532,-1.492,0.0878,22.91,0.506497,0.2338,-1.050494552,0.003584751,1.935641885
T29_2168,90.9,incorrect,T29,0,-86.71586,1502.84,376.857,-9.907,0.811,0.1556,-43.86,0.266222,0.2749,-3.206459284,0.01465822,1.613348722
T29_2169,90.9,incorrect,T29,0,-96.5699,637.163,188.086,-15.463,5.08,-0.1238,-56.9,1.008186,0.3122,0.195041269,0.010279951,0.37169981
T29_217,94.5,incorrect,T29,0,-103.7167,-122.891,15.835,-29.241,1.694,-0.1467,-50.2,0.58293,0.3514,-0.119949132,0.05058489,0.618859947
T29_2170,90.9,"clashes,incorrect",T29,0,-56.62956,2928.31,717.738,35.706,-14.05,-0.0536,-46.99,0.006669,0.4887,-1.44342649,0.010279951,1.668257594
T29_2172,90.9,"clashes,incorrect",T29,0,-104.4387,2352.82,842.661,-19.528,10.526,-0.2191,-101.93,0.785974,0.2471,-0.209871411,-0.472476035,0.255013585
T29_2173,90.9,incorrect,T29,0,-82.73276,-203.893,-0.988,-21.893,7.879,-0.0405,-32.57,0.979485,0.3895,1.152940392,0.112570077,-0.668454468
T29_2174,94.5,incorrect,T29,0,-91.2045,221.332,110.943,-25.779,2.06,0.0437,-53.93,0.496544,0.3118,0.68062824,0.010279951,1.803310394
T29_2175,90.9,incorrect,T29,0,-95.0453,2416.66,612.51,15.623,-5.072,0.0113,-47.9,0.623146,0.4995,-1.348609328,0.017690275,1.111546755
T29_2176,90.9,incorrect,T29,0,-19.43162,-28.9056,2.862,-3.254,-2.164,0.0508,22.83,0.002575,0.2274,-0.33202827,0.007125286,1.95982945
T29_2177,90.9,incorrect,T29,0,5612528.459910001,1611.28,402.133,-3.953,-0.04,0.2577,-61.21,0.706399,0.3619,-0.293230712,0.010279951,1.020451069
T29_2178,90.9,incorrect,T29,0,-83.6909,-7.71055,43.644,16.772,-6.196,0.0033,-12,0.648513,0.2274,-1.125091076,0.010279951,1.937355638
T29_2179,90.9,"clashes,incorrect",T29,0,-43.34944,4367.25,1261.303,44.382,-7.119,0.424,-74.34,-0.071754,0.5058,-1.455076218,0.010279951,1.254230142
T29_218,90.9,incorrect,T29,0,-53.3419,-163.784,0.694,26.119,-2.904,0.0082,16.59,0.370712,0.2274,-0.657627583,0.010279951,1.956515431
T29_2180,90.9,incorrect,T29,0,-53.44143,1740.34,524.187,14.643,-1.391,0.1664,0.25,0.279263,0.3377,-0.831339836,0.029145494,1.820073247
T29_2181,90.9,incorrect,T29,0,-70.32896,-150.111,-4.157,-12.379,2.258,-0.1611,-30.16,0.561133,0.2274,-1.59764564,0.007359702,1.340070605
T29_2182,90.9,incorrect,T29,0,-92.607,22.2889,-3.547,1.661,-1.09,0.051,2.49,0.439423,0.2519,-0.983065724,0.010279951,1.944451571
T29_2183,90.9,incorrect,T29,0,-28.16439,671.124,210.073,10.662,-2.176,0.1273,-59.85,0.132146,0.2274,-1.345042467,0.010279951,1.009017825
