PDB,PID,seqid,label,capri_quality,Unnamed: 5,Unnamed: 6,model,nclash,fnat,fnonnat,lrmsd,irmsdbb,irmsdsc,distance,theta,classification,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,DeepRank-GNN,GNN-DOVE,dMaSIF,PIsToN,DeepRank,HADDOCK
T29_187,T29,90.9,0,4,,,T29_187_conv,20/100,0.0,1.0,83.0759,26.8205,28.2912,82.1158,55.9295,incorrect,123.09,15.333,18.837,-8.675,0.142,35.83,0.196916,0.006542174,0.5149,-1.19283545,1.883160114,-1.14374119,-8.21504
T29_1880,T29,90.9,0,4,,,T29_1880_conv,32/100,0.0,1.0,66.5068,19.3408,19.326,62.7558,178.5363,incorrect,-350.408,-16.951,-40.841,-3.47,-0.2861,-60.85,1.385983,0.025495004,0.1685,-1.614632726,-1.692626595,3.328774452,-251.92874
T29_1881,T29,88.2,0,4,,,T29_1881_conv,28/100,0.0,1.0,23.2394,11.3434,11.9765,10.6029,101.805,incorrect,-109.091,20.751,-8.186,3.177,-0.0515,-3.96,0.405958,0.01065195,0.2316,-1.467202663,1.94157064,-1.459743679,-44.88035
T29_1882,T29,88.3,0,4,,,T29_1882_conv,29/100,0.0,1.0,22.4756,12.7158,13.0335,7.2525,121.2662,incorrect,602.298,75.55,-20.334,4.93,-0.015,-21.81,0.464595,0.008535376,0.1314,0.796979249,1.508412361,-291094.4297,5797.86594
T29_1883,T29,90.9,0,4,,,T29_1883_conv,39/100,0.0,1.0,80.0657,21.1852,22.573,75.7424,177.8299,incorrect,-10.2094,7.678,-14.65,-4.92,0.0794,-32.6,0.337132,0.016545326,0.438,-0.840201974,0.050181746,-1.205304801,-56.08321
T29_1884,T29,90.9,0,4,,,T29_1884_conv,3/100,0.0,1.0,65.5217,22.4949,23.9156,63.997,63.9079,incorrect,-167.542,-2.897,-10.03,-0.616,-0.1814,-16.93,0.5073,0.010328789,0.1094,-0.744815409,0.304366231,-0.823619127,-83.646586
T29_1885,T29,90.9,0,4,,,T29_1885_conv,65/100,0.0,1.0,69.2146,21.7389,23.1582,63.76,164.6142,incorrect,25.1083,27.377,6.235,-9.117,0.1879,-13.94,0.662747,0.001433693,0.2656,-0.479890406,1.845998526,0.02725035,8.19011
T29_1888,T29,90.9,0,4,,,T29_1888_conv,24/100,0.0,1.0,43.3392,18.0608,18.52,39.351,93.1557,incorrect,-104.56,59.488,14.036,-1.069,0.0199,-41.82,0.960346,0.056608308,0.0665,-0.843358755,1.38463068,1.493492484,-42.01658
T29_1889,T29,90.9,0,4,,,T29_1889_conv,12/100,0.0,1.0,73.9896,24.7387,26.4204,71.4014,97.4567,incorrect,-15.275,25.017,7.605,-1.287,-0.1008,-7.02,0.658973,0.018006802,0.0896,-0.158970296,1.937882185,0.033802986,-51.00003
T29_188,T29,90.9,0,4,,,T29_188_conv,34/100,0.0,1.0,33.9366,10.1918,11.1662,23.6496,124.6357,incorrect,-136.316,25.179,-29.143,7.391,-0.1641,-66.1,1.23292,0.179272056,0.2353,0.519823313,0.101013422,1.746156216,-65.4123
T29_1890,T29,90.9,0,4,,,T29_1890_conv,6/100,0.0,1.0,63.1287,22.2365,23.5288,61.8257,58.7445,incorrect,-217.675,-5.209,-13.244,-2.077,-0.2729,-25.04,0.824807,0.009229663,0.1991,-0.958297193,0.960248888,2.545535088,-106.36706
T29_1892,T29,90.9,0,4,,,T29_1892_conv,39/100,0.0,1.0,58.5946,15.4703,15.4861,54.4622,135.8001,incorrect,-51.0887,24.554,-11.808,3.909,0.024,-30.94,1.171325,0.021640552,0.0506,-1.907295465,0.576859832,1.640628695,-69.22608
T29_1893,T29,90.9,0,4,,,T29_1893_conv,10/100,0.0,1.0,68.0439,16.5791,17.9433,63.9099,166.5195,incorrect,-119.605,-3.59,-14.681,6.969,-0.0268,-0.81,0.665092,0.00933766,0.0814,-1.141881704,1.926099181,-2.468169212,-113.27009
T29_1894,T29,90.9,0,4,,,T29_1894_conv,4/100,0.0,1.0,46.736,15.2349,15.5073,42.0631,149.64,incorrect,-168.769,-5.72,-3.005,1.655,-0.0806,-4.93,0.919875,0.410298496,0.2471,-0.565205932,1.458330154,2.738114595,-105.90528
T29_1895,T29,88.3,0,4,,,T29_1895_conv,8/100,0.0,1.0,70.4018,23.4246,25.2711,67.8063,88.4657,incorrect,-96.843,-0.38,1.83,-2.872,-0.0797,43.94,0.856316,0.003289491,0.0927,-1.432336092,1.942604303,-4.98058629,-54.45964
T29_1896,T29,90.9,0,4,,,T29_1896_conv,11/100,0.0,1.0,48.4049,20.6937,21.6432,46.1625,66.9309,incorrect,-208.475,-2.911,-2.205,6.323,-0.2762,-24.6,0.924902,0.02230769,0.1043,-0.439365327,1.505663633,-2.342221498,-115.46463
T29_1897,T29,90.9,1,2,,,T29_1897_conv,7/100,0.4082,0.5745,5.4709,1.8472,2.6182,3.2721,18.1279,medium,-239.827,-5.919,-42.16,16.895,-0.309,-26.64,1.046064,0.357922047,0.1219,1.08050859,0.629274309,0.645605385,-122.2742
T29_1898,T29,88.2,0,4,,,T29_1898_conv,16/100,0.0,1.0,31.9991,10.9834,11.696,24.0829,103.6318,incorrect,-24.0076,8.884,-3.779,0.306,0.1023,8.16,0.243959,0.00681494,0.1303,-1.033026218,1.960871458,0.680200368,-10.321654
T29_1899,T29,90.9,0,4,,,T29_1899_conv,35/100,0.0,1.0,66.1298,23.3429,25.3741,65.3551,45.8788,incorrect,-105.874,9.406,-11.817,-2.042,-0.0097,27.82,0.645561,0.009414785,0.0637,-0.919997513,1.945822358,-1.073025078,-61.14187
T29_18,T29,90.9,1,2,,,T29_18_conv,55/100,0.449,0.5686,7.5251,1.6411,2.0435,6.1971,21.4604,medium,15.5805,11.872,-41.688,9.205,-0.0575,-55.74,1.082131,0.098987564,0.1652,0.58533603,0.864206612,1.712269664,-75.56373
T29_1901,T29,90.9,0,4,,,T29_1901_conv,37/100,0.0,1.0,34.0129,9.1957,9.6084,33.0542,37.8549,incorrect,104.943,28.36,-15.411,6.175,0.0706,-51.4,0.953644,0.078224003,0.254,-1.109858513,0.704976976,-3.330553532,-53.32178
T29_1902,T29,88.3,0,4,,,T29_1902_conv,6/100,0.0,1.0,85.645,27.97,28.5245,82.0636,137.2146,incorrect,-186.396,-2.542,-5.353,-2.584,-0.1578,10.11,0.624075,0.005407471,0.0846,-0.356457412,1.949831724,0.736776948,-80.30893
T29_1903,T29,90.9,0,4,,,T29_1903_conv,54/100,0.0,1.0,35.5881,15.7137,16.9387,24.4141,154.3761,incorrect,-80.4796,68.172,2.88,6.664,0.1533,-9.73,0.653428,0.017932409,0.1959,-0.980586648,1.41482079,2.679404378,5.097302
T29_1904,T29,90.9,0,4,,,T29_1904_conv,3/100,0.0,1.0,47.6092,13.5888,13.8983,42.5743,129.4185,incorrect,-232.825,-3.865,-13.139,0.376,-0.2248,-11.48,0.832619,0.01961432,0.2248,-0.040969759,1.712931037,-0.827233195,-119.61684
T29_1905,T29,90.9,0,4,,,T29_1905_conv,30/100,0.0,1.0,25.826,9.3539,10.1214,10.9801,119.5055,incorrect,-168.036,19.214,-26.025,7.055,-0.1445,-32.41,0.574658,0.021646123,0.0789,0.240380391,1.453026533,-2.595978379,-45.478633
T29_1906,T29,90.9,0,4,,,T29_1906_conv,47/100,0.0,1.0,66.4833,17.4631,18.8887,61.5876,134.9586,incorrect,8.44357,29.106,21.676,-1.716,0.0626,0.38,0.546091,0.011184933,0.1325,-1.839499235,1.618077159,-1.683872432,-51.4513
T29_1907,T29,90.9,0,4,,,T29_1907_conv,37/100,0.0,1.0,19.6567,7.5438,8.5027,9.6094,103.4063,incorrect,-173.651,12.026,-19.213,4.042,-0.1496,-33.54,1.146205,0.019300818,0.2478,0.438797891,-0.017787814,2.236685395,-90.929442
T29_1908,T29,88.3,0,4,,,T29_1908_conv,28/100,0.0,1.0,68.5155,23.4153,23.9522,65.2499,112.4948,incorrect,-193.928,9.39,-1.741,-1.302,-0.1475,5.09,1.168652,0.054338343,0.1849,-1.833366752,1.282657385,2.183072329,-70.483067
T29_1909,T29,94.5,1,3,,,T29_1909_conv,5/100,0.325,0.6579,5.8528,2.593,2.98,5.1647,12.554,acceptable,-246.976,-2.376,-34.677,10.486,-0.182,-31.0,1.080596,0.015192536,0.1024,0.553338647,0.76548481,1.707233667,-92.5029
T29_190,T29,90.9,1,1,,,T29_190_conv,8/100,0.7143,0.4776,2.5243,0.9886,1.5803,1.7796,7.4454,high,-362.846,-3.873,-58.788,14.691,-0.2977,-76.93,1.625479,0.017899008,0.136,1.218847394,-0.321189165,3.180871844,-163.2728
T29_1911,T29,90.9,0,4,,,T29_1911_conv,2/100,0.0,1.0,27.3503,13.5303,14.8706,6.1996,179.3633,incorrect,-162.751,-6.301,-41.31,9.38,-0.0935,-24.39,1.176174,0.006927293,0.1502,0.665418208,1.568020701,2.876979351,-118.4885
T29_1912,T29,90.9,0,4,,,T29_1912_conv,15/100,0.0,1.0,55.8221,20.1449,20.9501,54.8624,46.2034,incorrect,-179.308,-11.83,-22.805,6.008,-0.1094,-31.1,1.15732,0.029408131,0.2136,-0.941326976,-1.474052668,1.373569876,-188.8834
T29_1914,T29,88.2,0,4,,,T29_1914_conv,13/100,0.0,1.0,24.2852,11.9946,12.7388,13.3193,133.3696,incorrect,-78.9614,3.923,-19.609,3.967,-0.0968,-7.81,0.209149,0.013924731,0.1391,-1.353770256,1.223722935,-4.522323132,-27.41931
T29_1915,T29,94.5,0,4,,,T29_1915_conv,52/100,0.05,0.9459,29.3966,10.7301,12.1679,13.9654,152.3069,incorrect,-139.747,29.801,-27.771,5.211,-0.008,-25.38,0.425063,0.013064055,0.1501,0.793591797,1.083812118,0.280649692,-30.47599
T29_1916,T29,90.9,0,4,,,T29_1916_conv,5/100,0.0,1.0,45.5133,18.6813,18.9866,37.8413,166.1583,incorrect,-48.6941,0.657,0.055,0.624,-0.0577,3.8,0.144496,0.007255379,0.1956,-1.135832429,1.943661809,-3.858553648,-13.33793
T29_1917,T29,90.9,0,4,,,T29_1917_conv,15/100,0.0,1.0,40.2053,15.8294,16.4118,32.1544,138.2988,incorrect,-235.252,-3.551,-7.885,10.407,-0.2559,-43.28,0.985782,0.222963259,0.1834,-0.48903355,0.5961411,2.283847928,-145.40513
T29_1918,T29,90.9,0,4,,,T29_1918_conv,23/100,0.0,1.0,59.014,23.5259,25.2261,56.3526,83.5815,incorrect,39.2639,12.263,12.675,-6.386,0.0877,8.53,0.413189,0.008064816,0.0988,-0.303560108,1.873514414,0.180858135,-38.1618
T29_1919,T29,90.8,0,4,,,T29_1919_conv,43/100,0.0,1.0,34.4394,16.2325,17.4285,21.7914,154.8118,incorrect,-173.972,28.392,-11.585,2.938,-0.3295,-58.37,1.122361,0.021163246,0.0671,-0.27485171,-0.040821791,2.122335792,-70.58482
T29_191,T29,90.9,0,4,,,T29_191_conv,18/100,0.0,1.0,62.2831,18.2723,18.2292,58.7075,159.4206,incorrect,10.5557,10.602,-0.813,-5.328,0.1451,17.44,0.404323,0.011816632,0.1833,-0.740278065,1.472772121,2.898172855,-30.00994
T29_1920,T29,88.3,0,4,,,T29_1920_conv,34/100,0.0,1.0,28.8089,14.372,15.747,12.0336,169.8128,incorrect,581.149,150.664,-2.025,7.157,0.0033,-31.21,0.479064,0.008891292,0.0971,1.031915069,1.58147645,101.2148056,3415.155
T29_1921,T29,90.9,0,4,,,T29_1921_conv,4/100,0.0,1.0,62.3116,21.6202,22.9587,60.0196,82.6809,incorrect,-122.708,-3.775,-18.344,-4.862,0.0155,14.12,0.352637,0.018402282,0.3375,-1.315800667,0.954530478,0.573035747,-91.37417
T29_1923,T29,90.9,1,3,,,T29_1923_conv,8/100,0.3673,0.7231,7.967,2.7864,3.1765,4.7386,29.5465,acceptable,-345.739,-5.517,-43.752,8.559,-0.221,-82.88,1.31836,0.021020338,0.152,1.231119275,-1.684986949,4.362966776,-174.6978
T29_1924,T29,90.9,0,4,,,T29_1924_conv,3/100,0.0,1.0,66.3066,24.035,24.3549,63.1967,141.4393,incorrect,-36.6978,-5.823,-8.605,-4.424,0.0956,11.41,0.292261,0.026351102,0.2181,-1.363981366,1.938425183,2.182770729,-87.33526
T29_1925,T29,90.9,0,4,,,T29_1925_conv,17/100,0.0,1.0,45.9828,14.4923,15.8714,39.1222,129.4811,incorrect,-152.624,-10.214,-24.968,-1.391,-0.1794,-59.59,0.939126,0.017262917,0.3283,-0.414970309,0.024127722,2.868108034,-157.80164
T29_1926,T29,94.5,0,4,,,T29_1926_conv,6/100,0.0,1.0,27.314,13.5734,15.0104,6.681,175.2548,incorrect,-245.532,3.986,-28.021,6.708,-0.1923,-53.18,1.038915,0.014305193,0.1031,0.51367408,1.638051987,2.273879409,-121.5353
T29_1927,T29,90.9,0,4,,,T29_1927_conv,6/100,0.0,1.0,70.3725,22.4729,23.6684,69.14,56.8993,incorrect,-26.1549,-1.787,5.113,-9.253,0.0781,26.63,0.113075,0.00871361,0.0806,-2.137990475,1.92893815,-3.289111137,-30.8003
T29_1928,T29,88.2,0,4,,,T29_1928_conv,28/100,0.0233,0.9756,24.1571,11.6039,12.467,8.7415,162.038,incorrect,-42.3677,17.931,-8.685,3.991,0.0264,-12.22,0.350604,0.008743959,0.1464,-0.672904193,1.932530403,-0.292600513,-46.05703
T29_1929,T29,90.9,0,4,,,T29_1929_conv,59/100,0.0,1.0,29.3385,14.2972,15.3721,14.69,138.2898,incorrect,-168.192,36.737,-9.035,4.243,-0.2036,-53.11,1.224712,0.231314108,0.1151,0.150521964,0.858757913,2.47603631,-42.3176
T29_192,T29,90.9,0,4,,,T29_192_conv,47/100,0.0,1.0,44.1515,17.6228,18.2355,39.0602,106.2534,incorrect,-191.722,65.735,-3.987,4.493,-0.241,-55.71,0.870701,0.020271467,0.0521,-1.239893913,1.056576014,1.845902562,-17.94554
T29_1930,T29,90.9,0,4,,,T29_1930_conv,5/100,0.0,1.0,72.2828,19.3849,20.3835,69.0259,145.3335,incorrect,-188.378,-6.126,-20.344,2.273,-0.1257,-40.26,1.089402,0.091712683,0.095,0.813171983,-0.714901209,1.371398807,-78.00082
T29_1931,T29,94.5,0,4,,,T29_1931_conv,26/100,0.05,0.96,47.2173,11.9757,13.2762,40.0049,132.8936,incorrect,-88.4002,38.314,-18.859,1.752,-0.1289,-9.38,0.792639,0.010614341,0.0744,0.730250597,1.954143286,-2.727262139,-46.40948
T29_1932,T29,90.9,0,4,,,T29_1932_conv,10/100,0.0,1.0,86.2444,22.1498,23.0167,82.3896,144.0882,incorrect,-215.457,-10.561,-25.669,2.542,-0.0846,-33.01,0.765117,0.015642928,0.2973,-1.780335426,-0.513035178,2.085230112,-141.5393
T29_1933,T29,88.3,0,4,,,T29_1933_conv,0/100,0.0,1.0,86.3523,24.689,25.0762,83.3305,133.4061,incorrect,-88.8234,-3.135,-13.166,1.064,-0.0383,-7.51,0.05923,0.014933148,0.0905,-1.097103477,1.929278016,-0.952362418,-41.45719
T29_1934,T29,90.9,0,4,,,T29_1934_conv,48/100,0.0,1.0,44.8576,17.77,18.6294,37.3593,132.7421,incorrect,-199.313,21.139,-28.535,2.248,0.0716,-4.82,0.942346,0.025807187,0.2274,-0.580801189,1.843326569,1.595626116,-76.10797
T29_1935,T29,90.9,1,2,,,T29_1935_conv,27/100,0.449,0.4884,6.6975,1.4401,1.8727,6.0329,13.7657,medium,-161.179,25.468,-42.209,10.032,-0.2352,-58.02,1.147304,0.082516879,0.51,0.969293237,-0.06557703,2.687252283,-88.393
T29_1936,T29,90.9,0,4,,,T29_1936_conv,1/100,0.0,1.0,20.2993,8.0681,9.206,9.6057,116.7482,incorrect,-55.7995,-0.99,-12.027,4.595,-0.0048,-1.0,0.452125,0.010224762,0.3179,0.762527943,1.342462897,-3.122985601,-22.46142
T29_1937,T29,90.8,0,4,,,T29_1937_conv,102/100,0.0,1.0,54.5916,20.6732,21.5901,52.6174,75.8523,"clashes,incorrect",453.089,118.693,-4.561,-3.785,0.2415,-35.2,0.444044,0.018782862,0.231,-1.322353244,1.556699514,543723.9688,1302.77115
T29_1938,T29,88.3,0,4,,,T29_1938_conv,34/100,0.0,1.0,23.6133,12.9966,13.6929,2.4426,148.3772,incorrect,-83.4614,44.087,-12.509,5.356,0.0632,-21.58,0.810885,0.015990544,0.0806,1.017747164,1.220806837,-0.758578598,41.17356
T29_1939,T29,90.9,0,4,,,T29_1939_conv,12/100,0.0,1.0,78.0072,22.3701,23.4361,75.2135,103.9501,incorrect,-204.323,-7.261,-25.914,5.556,-0.0817,-41.37,1.218718,0.004785638,0.5197,-0.774127483,-1.27816391,2.905840278,-138.49836
T29_193,T29,94.5,0,4,,,T29_193_conv,50/100,0.0,1.0,43.0737,8.8009,9.527,38.6947,89.25,incorrect,-24.711,49.627,-27.845,3.563,-0.1408,-47.6,1.052008,-0.004372744,0.1135,0.681131899,1.02069664,0.527597338,-13.84976
T29_1940,T29,90.9,0,4,,,T29_1940_conv,3/100,0.0,1.0,72.0688,26.3244,28.178,69.1122,101.1193,incorrect,-135.769,-4.081,-11.771,-1.224,-0.1457,-28.89,0.520351,0.014508575,0.1349,0.172474906,1.465904474,-1.879384696,-66.71098
T29_1942,T29,90.9,0,4,,,T29_1942_conv,58/100,0.0408,0.9701,62.0824,16.6959,18.758,57.9627,121.9521,incorrect,62.6139,26.721,-16.216,-4.926,0.2109,-29.15,0.704628,0.004174957,0.3053,-1.187427044,1.773396134,-0.552445978,-84.11587
T29_1943,T29,90.9,0,4,,,T29_1943_conv,8/100,0.0,1.0,89.17,23.1522,24.3514,85.1862,164.9003,incorrect,-105.864,6.443,-8.701,2.102,-0.1107,-12.93,0.675475,0.029854139,0.1346,-1.969951391,1.60819149,1.210693985,-38.23818
T29_1944,T29,90.9,1,3,,,T29_1944_conv,8/100,0.449,0.6901,5.7174,2.3495,2.7886,0.99,25.3895,acceptable,-342.675,-7.849,-56.239,12.198,-0.3814,-75.74,1.426477,0.130553201,0.1174,1.497977972,-1.182517529,2.711937428,-149.077
T29_1945,T29,90.9,0,4,,,T29_1945_conv,17/100,0.0,1.0,32.824,15.557,16.274,24.7072,149.9978,incorrect,-264.969,-3.94,0.157,3.55,-0.1459,-33.74,0.852699,0.012244269,0.0666,0.05525548,1.626065493,2.341369629,-147.68723
T29_1946,T29,90.9,0,4,,,T29_1946_conv,16/100,0.0,1.0,53.8921,19.1972,19.8523,49.125,111.0579,incorrect,-101.808,9.785,-3.097,-1.153,-0.0805,-14.77,0.531288,0.016703431,0.1585,-2.117951155,1.883723021,-1.042399287,-60.76142
T29_1948,T29,90.9,0,4,,,T29_1948_conv,5/100,0.0,1.0,65.2902,25.8338,27.3014,63.0009,76.8972,incorrect,-190.422,-5.947,-20.491,1.21,-0.1991,-13.76,0.848424,0.014184709,0.0589,0.461404741,1.771820903,0.447515011,-104.37584
T29_194,T29,90.8,0,4,,,T29_194_conv,109/100,0.0213,0.9873,37.113,9.5063,10.3422,26.0553,155.7236,"clashes,incorrect",62.1777,82.046,-16.911,-1.471,0.0046,-69.26,0.81362,0.054821692,0.5222,-0.437736124,1.704670072,1.652342677,72.8519
T29_1951,T29,90.9,0,4,,,T29_1951_conv,30/100,0.0,1.0,65.6088,23.4237,24.8615,60.2789,145.924,incorrect,-64.0568,14.582,-9.308,-4.265,-0.2012,-10.78,0.824228,0.014151426,0.3286,0.701936424,1.707262754,2.719057083,-54.26841
T29_1952,T29,90.7,0,4,,,T29_1952_conv,14/100,0.0,1.0,19.3116,9.6296,10.8395,4.0803,126.131,incorrect,-67.2756,-5.006,-19.451,5.774,-0.135,-38.21,0.490033,0.0136057,0.2087,-0.500419021,1.172627211,2.101937652,-68.12989
T29_1953,T29,90.9,0,4,,,T29_1953_conv,162/100,0.0,1.0,66.7781,21.8999,23.6324,61.8223,139.6263,"clashes,incorrect",300.318,128.237,17.987,-8.7,0.3215,-48.75,0.494354,0.014967613,0.1554,-1.329798818,-0.105796576,0.190646648,95.26667
T29_1954,T29,90.9,0,4,,,T29_1954_conv,13/100,0.0,1.0,31.2593,10.4073,11.7153,21.0076,146.3435,incorrect,-169.086,13.028,-14.425,2.4,-0.1202,-18.29,1.070329,0.006897423,0.0899,-0.150043249,1.938123822,0.781124741,-64.14388
T29_1955,T29,90.9,0,4,,,T29_1955_conv,12/100,0.0,1.0,57.332,15.708,17.1595,51.4247,149.9854,incorrect,-90.2519,3.806,18.788,-5.611,-0.0916,14.38,0.48241,0.011844867,0.5656,-0.938580871,1.915065765,-0.319345236,-72.98917
T29_1956,T29,90.9,0,4,,,T29_1956_conv,9/100,0.0204,0.9756,44.6144,11.2109,12.517,37.3161,126.739,incorrect,-150.637,7.234,-24.916,2.024,-0.0698,-39.2,0.936409,0.008946491,0.1077,1.269791722,-0.023931026,1.670116812,-44.98678
T29_1957,T29,88.3,0,4,,,T29_1957_conv,12/100,0.0,1.0,23.5747,9.9535,10.6596,11.6197,112.0384,incorrect,-26.7819,18.281,-19.627,0.193,0.1364,-4.09,0.544842,0.010422451,0.1714,-0.065787897,1.683998108,-20.86908913,371.2503
T29_1958,T29,90.9,0,4,,,T29_1958_conv,12/100,0.0,1.0,41.7248,14.5961,15.7843,35.8213,108.219,incorrect,-21.4751,11.077,12.406,-3.069,0.0315,32.24,0.489572,0.006607741,0.2471,-1.018051505,1.250160933,-7.454391479,-29.254684
T29_1959,T29,90.9,1,2,,,T29_1959_conv,7/100,0.449,0.6071,5.2389,1.6755,2.2446,4.7115,9.0276,medium,-262.519,-3.641,-44.358,16.954,-0.3435,-58.71,1.421006,0.241666898,0.1264,0.647870183,-1.728564501,3.261805654,-153.2054
T29_195,T29,90.9,1,2,,,T29_195_conv,27/100,0.4082,0.6078,6.3986,1.7607,2.1576,5.8713,12.1453,medium,-231.944,30.844,-39.915,11.596,-0.2195,-56.43,1.103907,0.177720636,0.5129,1.169924736,0.436181188,2.469783306,-61.4839
T29_1960,T29,90.9,0,4,,,T29_1960_conv,17/100,0.0,1.0,72.111,26.8701,27.7057,69.3048,97.2115,incorrect,-124.354,-7.891,-13.389,-3.638,-0.1624,-31.6,0.775258,0.376450539,0.1881,0.404552966,-0.006544232,3.440705061,-145.60051
T29_1961,T29,90.9,1,3,,,T29_1961_conv,88/100,0.2449,0.831,15.8896,3.6152,3.8285,14.3601,33.509,acceptable,284.25,180.374,-23.165,7.362,-0.2118,-63.64,0.810925,0.066510707,0.1272,-0.136399642,-1.676501989,-265.6832008,2098.6648
T29_1962,T29,90.9,0,4,,,T29_1962_conv,1/100,0.0,1.0,38.6992,9.6066,10.9774,32.8076,145.9016,incorrect,-103.434,-3.2,-12.283,1.563,0.0086,-2.26,0.596956,0.010350041,0.1524,-0.149149925,1.594801664,-5.121604204,-25.45988
T29_1963,T29,88.2,0,4,,,T29_1963_conv,19/100,0.1628,0.75,24.2594,7.6643,8.749,16.3163,83.999,incorrect,-56.1363,8.01,-10.166,2.269,0.0368,-2.55,0.614094,0.017203737,0.1043,0.74932611,1.811588764,1.559473902,-29.39496
T29_1964,T29,90.9,0,4,,,T29_1964_conv,23/100,0.0,1.0,43.8915,17.4844,18.4831,36.7757,123.8176,incorrect,-336.389,-7.275,-23.668,11.473,-0.3103,-47.19,1.469413,0.025410423,0.2083,-0.846350849,0.244730711,2.022598028,-204.74187
T29_1965,T29,90.9,0,4,,,T29_1965_conv,36/100,0.0,1.0,66.8949,22.2889,23.9135,65.6493,73.5295,incorrect,-81.2293,11.042,-3.355,-1.03,0.0417,-30.56,0.571133,0.015205726,0.3194,0.131579056,0.008384228,-0.254228801,-40.49256
T29_1966,T29,88.3,0,4,,,T29_1966_conv,45/100,0.0,1.0,31.2593,14.9634,16.4132,17.4943,158.967,incorrect,974.374,268.083,-2.002,5.874,0.0066,-26.51,0.540865,0.014978228,0.0814,0.712471485,1.624024391,14100000000000.0,5773.82962
T29_1967,T29,88.3,0,4,,,T29_1967_conv,10/100,0.0,1.0,65.2174,22.9923,24.8511,64.1098,55.9107,incorrect,-73.3876,1.588,0.874,-0.177,-0.0946,16.46,0.426757,0.011125575,0.0746,-0.125293866,1.90367806,-5.65049243,-22.31173
T29_1968,T29,90.9,0,4,,,T29_1968_conv,9/100,0.0408,0.9487,27.048,11.7339,12.6765,3.9326,176.6548,incorrect,-191.97,-3.96,-15.997,6.917,-0.2227,-33.53,0.591003,0.108221486,0.1091,0.613790154,0.700632155,1.958566189,-107.39425
T29_1969,T29,90.9,0,4,,,T29_1969_conv,33/100,0.0,1.0,50.5134,17.0952,17.6687,45.7699,129.3603,incorrect,-57.8195,31.346,-12.743,2.607,0.065,-38.47,0.487837,0.012972099,0.2943,-1.017070293,1.093310118,1.221113443,-16.29595
T29_1970,T29,90.9,0,4,,,T29_1970_conv,45/100,0.0,1.0,68.8278,24.0168,25.9102,67.1639,76.6567,incorrect,-11.6642,23.186,-3.152,-7.229,-0.0204,-5.57,0.682907,0.012686852,0.4611,-0.78488338,1.919214845,-0.95544672,-40.62259
T29_1971,T29,94.5,0,4,,,T29_1971_conv,5/100,0.075,0.9062,34.3909,10.2006,10.6882,26.5397,116.0086,incorrect,-130.833,2.024,-15.618,3.153,-0.1195,-17.69,0.417168,0.005209267,0.1038,-0.857214034,-0.916997552,-5.481967449,-44.89881
T29_1972,T29,90.9,0,4,,,T29_1972_conv,80/100,0.0,1.0,35.1418,15.1014,16.5205,22.7301,175.6981,incorrect,11.2135,24.467,11.938,-1.538,0.3377,3.55,0.324562,0.018801626,0.1373,-0.798705578,1.841959715,2.90270853,-21.38326
T29_1973,T29,90.9,0,4,,,T29_1973_conv,36/100,0.0,1.0,55.7905,19.4295,21.1433,52.7067,84.8705,incorrect,129.62,15.195,-11.312,-9.955,-0.0062,6.13,0.357347,0.002893817,0.1199,-1.179151654,1.901110649,-1.609366506,-15.58963
T29_1974,T29,90.9,0,4,,,T29_1974_conv,53/100,0.0,1.0,79.4391,21.8218,22.6414,76.786,161.6494,incorrect,-127.882,26.051,-2.271,3.885,-0.1248,-50.17,1.060288,0.288703799,0.1229,-0.800491929,-1.255978584,-2.871802926,-48.94572
T29_1975,T29,88.2,0,4,,,T29_1975_conv,44/100,0.0,1.0,36.8775,11.2329,12.395,28.8619,160.3612,incorrect,-15.2228,9.055,-2.965,0.421,0.122,6.53,0.248469,0.004204735,0.184,-0.466815561,1.958207011,-4.939037561,-14.17801
T29_1978,T29,90.9,0,4,,,T29_1978_conv,3/100,0.0,1.0,35.4501,16.2186,16.9896,24.9392,159.3021,incorrect,-208.798,-7.228,-39.322,12.366,-0.1453,-26.3,0.955847,0.085665636,0.1633,-0.062614568,0.143075705,1.724573016,-123.1903
T29_1979,T29,90.9,0,4,,,T29_1979_conv,2/100,0.0,1.0,15.2799,9.0777,9.9262,7.14,62.7421,incorrect,-201.211,-8.487,-39.288,6.257,-0.2378,-35.75,0.928651,0.112144828,0.185,0.948860943,1.058644056,2.420331597,-101.558
T29_197,T29,90.9,0,4,,,T29_197_conv,39/100,0.0,1.0,68.3056,26.9745,28.2571,66.5168,69.514,incorrect,-98.5615,31.155,9.127,-1.6,-0.0835,-6.72,0.941302,0.008151425,0.1302,0.754001439,1.814342499,3.028071046,-13.99699
T29_1980,T29,90.9,0,4,,,T29_1980_conv,2/100,0.0,1.0,67.0803,22.4239,22.7162,63.8621,156.3642,incorrect,-33.8892,-6.211,-1.658,-1.802,-0.0674,-2.81,0.513495,0.071517654,0.2483,-1.149685144,0.444711328,2.811694384,-87.06671
